experiment	eval_01	eval_02	eval_03	eval_04	eval_05	eval_06	eval_07	eval_08	eval_09	eval_10	eval_11	eval_12	eval_13	eval_14	mean_r	time_s	description
001_random_uniform	0.4704	0.4702	0.4688	0.3947	0.4702	0.4684	0.5192	0.1576	0.3947	0.4830	0.4684	0.4688	0.5020	0.4704	0.4433	18.1	random uniform smoke test
002_motif_planted_synth	0.5052	0.5071	0.5395	0.1773	0.5071	0.5009	0.7171	0.0925	0.1773	0.5298	0.5009	0.5395	0.7009	0.5052	0.4643	9.3	random backbone + 3-8 JASPAR motifs/seq
003_dhs_uniform	0.6604	0.6614	0.6733	0.4926	0.6614	0.6602	0.7608	0.1159	0.4926	0.6552	0.6602	0.6733	0.7517	0.6604	0.6128	11.6	DHS summit ±100, uniform sample, drop N
004_dhs_plus_motif_synth	0.5277	0.5294	0.5570	0.2736	0.5294	0.5239	0.6885	0.1059	0.2736	0.5382	0.5239	0.5570	0.6710	0.5277	0.4876	14.3	25k DHS + 25k motif-planted synth (FAILED H1)
005_dhs_no_label_topics	0.6752	0.6761	0.6857	0.5374	0.6761	0.6754	0.7597	0.1212	0.5374	0.6635	0.6754	0.6857	0.7509	0.6752	0.6282	10.0	DHS uniform from 12 non-label-aligned topics
006_dhs_nolabel_plus_random	0.5349	0.5363	0.5594	0.3201	0.5363	0.5314	0.6708	0.1141	0.3201	0.5401	0.5314	0.5594	0.6516	0.5349	0.4958	13.7	25k DHS no-label + 25k random (FAILED: mixing hurts)
007_dhs_nolabel_numsamples	0.6185	0.6188	0.6211	0.5448	0.6188	0.6177	0.6885	0.1220	0.5448	0.6045	0.6177	0.6211	0.6643	0.6185	0.5801	12.8	DHS no-label, numsamples-weighted (HURTS: concentration)
008_dhs_nolabel_topic_balanced	0.6631	0.6641	0.6750	0.4997	0.6641	0.6631	0.7604	0.1152	0.4997	0.6565	0.6631	0.6750	0.7505	0.6631	0.6152	20.2	DHS no-label, topic-balanced (12 topics)
009_dhs_nolabel_offset_window	0.6724	0.6734	0.6834	0.5295	0.6734	0.6724	0.7605	0.1201	0.5295	0.6610	0.6724	0.6834	0.7522	0.6724	0.6254	13.2	DHS no-label, ±50bp offset window (flat)
010_ccre_dELS_uniform	0.6671	0.6681	0.6791	0.5300	0.6681	0.6667	0.7541	0.1226	0.5300	0.6577	0.6667	0.6791	0.7441	0.6671	0.6215	10.0	ENCODE cCRE dELS uniform 50k (≈ exp 005, no lift)
011_dhs_motif_dense	0.6084	0.6099	0.6296	0.3637	0.6099	0.6071	0.7586	0.0907	0.3637	0.6067	0.6071	0.6296	0.7501	0.6084	0.5603	13.0	DHS no-label, top-50k by motif diversity (HURTS: concentration)
012_dhs_nolabel_rc_aug	0.6760	0.6769	0.6866	0.5424	0.6769	0.6764	0.7606	0.1213	0.5424	0.6640	0.6764	0.6866	0.7517	0.6760	0.6296	10.0	25k DHS x 2 strands (RC aug; flat, model RC-equivariant)
013_dhs_gc_extreme	0.6384	0.6391	0.6480	0.4464	0.6391	0.6383	0.7502	0.1094	0.4464	0.6427	0.6383	0.6480	0.7329	0.6384	0.5882	9.0	DHS no-label, GC-extreme tails (HURTS — H5 counter-test confirmed)
014_dhs_exclude2topics	0.6691	0.6701	0.6810	0.5186	0.6701	0.6693	0.7603	0.1181	0.5186	0.6606	0.6693	0.6810	0.7514	0.6691	0.6253	20.0	DHS exclude 2 topics (Myel+Neu); slightly worse than excluding 4
015_dhs_inv_numsamples	0.6598	0.6610	0.6751	0.4986	0.6610	0.6599	0.7604	0.1123	0.4986	0.6497	0.6599	0.6751	0.7554	0.6598	0.6097	25.0	DHS no-label, weight ∝ 1/numsamples (favor specific); uniform still wins
016_dhs_core_centered	0.6750	0.6760	0.6854	0.5392	0.6760	0.6750	0.7588	0.1209	0.5392	0.6631	0.6750	0.6854	0.7499	0.6750	0.6286	11.0	DHS no-label, core_midpoint anchor (vs summit) — flat
017_dhs_multiwindow	0.6715	0.6725	0.6834	0.5258	0.6725	0.6718	0.7607	0.1177	0.5258	0.6606	0.6718	0.6834	0.7527	0.6715	0.6266	19.0	25k DHS x 2 paired windows (-50,+50); slight hurt
018_dhs_short_peaks	0.6685	0.6695	0.6801	0.5164	0.6695	0.6684	0.7608	0.1176	0.5164	0.6597	0.6684	0.6801	0.7523	0.6685	0.6249	12.0	DHS no-label, peak width <=300bp filter; slight hurt
019_dhs_nmf_weighted	0.6481	0.6485	0.6518	0.5573	0.6485	0.6478	0.7187	0.1239	0.5573	0.6319	0.6478	0.6518	0.6972	0.6481	0.6056	13.0	DHS weight ∝ sum NMF loadings (replicate dhs_topic); hurts in my pipeline
020_dhs_nmf_max	0.6641	0.6646	0.6700	0.5409	0.6646	0.6642	0.7429	0.1220	0.5409	0.6547	0.6642	0.6700	0.7256	0.6641	0.6195	14.0	DHS weight ∝ max NMF loading; better than sum, still worse than uniform
021_dhs_nolabel_nmf_max	0.6675	0.6681	0.6728	0.5579	0.6681	0.6674	0.7421	0.1242	0.5579	0.6526	0.6674	0.6728	0.7245	0.6675	0.6224	35.0	DHS no-label + NMF max weighting; lifts eval_04/09 only
022_ccre_all_classes	0.6827	0.6835	0.6915	0.5704	0.6835	0.6830	0.7554	0.1245	0.5704	0.6660	0.6830	0.6915	0.7451	0.6827	0.6381	14.0	cCRE all-classes uniform 50k — NEW BEST (beats exp 005)
023_ccre_intersect_dhs_nolabel	0.6796	0.6804	0.6877	0.5587	0.6804	0.6801	0.7552	0.1247	0.5587	0.6657	0.6801	0.6877	0.7431	0.6796	0.6330	13.4	cCRE all-classes ∩ no-label DHS coords; slight hurt vs exp 022
024_ccre_class_balanced	0.6921	0.6930	0.6995	0.5966	0.6930	0.6927	0.7576	0.1235	0.5966	0.6671	0.6927	0.6995	0.7479	0.6921	0.6460	13.0	cCRE 8-class balanced (~6250 per class) — NEW BEST (every eval up)
025_ccre_balanced_plus_dhs	0.6858	0.6867	0.6941	0.5744	0.6867	0.6862	0.7580	0.1230	0.5744	0.6667	0.6862	0.6941	0.7483	0.6858	0.6393	13.0	25k cCRE-balanced + 25k DHS no-label; DHS dilutes vs pure exp 024
