experiment	eval_01	eval_02	eval_03	eval_04	eval_05	eval_06	eval_07	eval_08	eval_09	eval_10	eval_11	eval_12	eval_13	eval_14	time_s	description
001_dhs_topic_repro	0.1293	0.1296	0.1356	0.1347	0.1296	0.1375	0.1482	0.0476	0.1347	0.1688	0.1375	0.1356	0.1111	0.1293	69	DHS topic-weighted, single seed; baseline reproduction
002_dhs_topic_flanks	0.1327	0.1327	0.1409	0.1501	0.1327	0.1183	0.1868	0.0472	0.1501	0.1857	0.1183	0.1409	0.1469	0.1327	74	DHS-topic 25k + paired flanks 25k
003_ccre_balanced_flanks	0.1445	0.1458	0.1566	0.1256	0.1458	0.1435	0.1463	0.0376	0.1256	0.1311	0.1435	0.1566	0.1454	0.1445	65	cCRE 5-class balanced + paired flanks
004_ccre_asymm_pls_flanks	0.1479	0.1484	0.1577	0.1441	0.1484	0.1589	0.1609	0.0411	0.1441	0.1623	0.1589	0.1577	0.1439	0.1479	85	asymm cCRE (PLS-boosted) + paired flanks
005_mpra_dataset	0.1351	0.1355	0.1458	0.1434	0.1355	0.1062	0.1932	0.0340	0.1434	0.1549	0.1062	0.1458	0.1662	0.1351	60	random 50k Table_S2 MPRA, no eval chroms
006_blind013_repro	0.1465	0.1485	0.1580	0.1468	0.1485	0.1476	0.1831	0.0407	0.1468	0.1025	0.1476	0.1580	0.1800	0.1465	54	blind 013 recipe replication, seed 0
007_multisource_diverse	0.1592	0.1607	0.1760	0.1357	0.1607	0.2283	0.1311	0.0462	0.1357	0.1208	0.2283	0.1760	0.1266	0.1592	54	multi-source: cCRE asymm + Table_S2 + DHS + synth + flanks
008_multisource_s2_heavy	0.1569	0.1581	0.1702	0.1365	0.1581	0.1871	0.1659	0.0408	0.1365	0.1319	0.1871	0.1702	0.1476	0.1569	28	triple Table_S2 share to 15k, drop synth; SEI recovered but K562 unlock weakened
009_ctcf_heavy	0.1367	0.1381	0.1494	0.1250	0.1381	0.1438	0.1541	0.0408	0.1250	0.1576	0.1438	0.1494	0.1573	0.1367	13	double CTCF to 8k; K562 r went negative; CTCF over-rep harmful (refutes theory v6 linearity)
010_s2_k562_actives	0.1361	0.1374	0.1466	0.1198	0.1374	0.1556	0.1611	0.0363	0.1198	0.1662	0.1556	0.1466	0.1505	0.1361	23	Table_S2 K562-top-quartile anchor; K562 r still negative; near-identical to exp 7 yet regressed — variance concern
011_exp7_repro_seed1	0.1521	0.1529	0.1593	0.1647	0.1529	0.1603	0.1863	0.0416	0.1647	0.1509	0.1603	0.1593	0.1396	0.1521	13	exact replica of exp 007 with SEED=1; mean14=0.150 (vs 0.153) — recipe robust, exp 007 K562 was a seed artifact
012_dhs_celltype_matched	0.1741	0.1746	0.1852	0.1512	0.1746	0.2212	0.1616	0.0418	0.1512	0.1233	0.2212	0.1852	0.1292	0.1741	29	DHS enriched for Neural+Myeloid+Digestive (match SKNSH/K562/HepG2); mean14=0.162 NEW BEST
013_dhs_celltype_aggressive	0.1539	0.1547	0.1654	0.1448	0.1547	0.1811	0.1736	0.0393	0.1448	0.1435	0.1811	0.1654	0.1609	0.1539	32	push DHS to 26k, drop S2; mean14=0.151 — regression, S2 was contributing to K562 r
014_exp12_repro_seed1	0.1446	0.1449	0.1550	0.1569	0.1449	0.1307	0.1993	0.0415	0.1569	0.1522	0.1307	0.1550	0.1599	0.1446	15	exp 012 recipe seed=1; mean14=0.144 — exp 012 was a lucky seed; recipe avg ~0.153
015_dhs_celltype_plus_cancer	0.1504	0.1520	0.1648	0.1422	0.1520	0.1697	0.1882	0.0341	0.1422	0.1177	0.1697	0.1648	0.1563	0.1504	14	add Cancer/epithelial DHS component; mean14=0.147 — no help, K562 r ~0
016_sknsh_maximize	0.1562	0.1572	0.1697	0.1427	0.1572	0.1865	0.1810	0.0415	0.1427	0.1228	0.1865	0.1697	0.1553	0.1562	15	12k Neural + 5k tissue-invariant + 4k PLS; mean14=0.152, SKNSH unchanged — ceiling-confirming
017_exp12_seed2	0.1668	0.1677	0.1789	0.1190	0.1677	0.2274	0.1274	0.0428	0.1190	0.1606	0.2274	0.1789	0.1178	0.1668	13	exp 012 recipe SEED=2; mean14=0.155 eval_01=0.167
