experiment	eval_01	eval_02	eval_03	eval_04	eval_05	eval_06	eval_07	eval_08	eval_09	eval_10	eval_11	eval_12	eval_13	eval_14	time_s	description
001_random_uniform_calibration	0.2444	0.2447	0.2460	0.2325	0.2447	0.2444	0.2436	0.0850	0.2325	0.2439	0.2444	0.2460	0.2378	0.2444	26	random_uniform calibration baseline
002_dhs_random_real	0.3179	0.3180	0.3200	0.2702	0.3180	0.3174	0.3334	0.0797	0.2702	0.3032	0.3174	0.3200	0.3298	0.3179	76	DHS uniform random, real labels
003_dhs_top_signal	0.2661	0.2662	0.2668	0.2390	0.2662	0.2646	0.2813	0.0814	0.2390	0.2703	0.2646	0.2668	0.2682	0.2661	79	DHS top mean_signal x log(numsamples)
004_gosai_mpra_random	0.3233	0.3236	0.3252	0.2759	0.3236	0.3227	0.3352	0.0791	0.2759	0.3011	0.3227	0.3252	0.3303	0.3233	68	Gosai MPRA random sample
005_gosai_active_clean	0.3246	0.3249	0.3280	0.2806	0.3249	0.3239	0.3339	0.0761	0.2806	0.3028	0.3239	0.3280	0.3301	0.3246	75	Gosai loud+clean filter
006_gosai_celltype_stratified	0.3264	0.3267	0.3293	0.2813	0.3267	0.3259	0.3388	0.0764	0.2813	0.3073	0.3259	0.3293	0.3312	0.3264	53	Gosai cell-dominant balanced
007_gosai_duplicated_10k_x5	0.2503	0.2504	0.2502	0.2346	0.2504	0.2496	0.2587	0.0614	0.2346	0.2385	0.2496	0.2502	0.2363	0.2503	53	Gosai top|fc| 10K x 5 copies
008_gosai_test_chroms	0.3359	0.3362	0.3369	0.2766	0.3362	0.3355	0.3357	0.0784	0.2766	0.2988	0.3355	0.3369	0.3302	0.3359	70	Gosai chrs 7,9,13,21,X
009_mix_gosai_dhs	0.3220	0.3222	0.3241	0.2731	0.3222	0.3216	0.3360	0.0783	0.2731	0.3034	0.3216	0.3241	0.3314	0.3220	56	Gosai+DHS 50/50 mix
010_gosai_rc_aug	0.3218	0.3219	0.3240	0.2746	0.3219	0.3213	0.3353	0.0802	0.2746	0.3016	0.3213	0.3240	0.3304	0.3218	75	Gosai 25K + 25K RC
011_gosai_test_chr_loud_clean	0.3355	0.3359	0.3360	0.2765	0.3359	0.3339	0.3322	0.0773	0.2765	0.2961	0.3339	0.3360	0.3298	0.3355	70	Gosai test chr + loud+clean
012_dhs_topic_stratified	0.3181	0.3182	0.3200	0.2680	0.3182	0.3177	0.3349	0.0742	0.2680	0.3002	0.3177	0.3200	0.3281	0.3181	22	DHS topic-stratified 16 components
013_motif_engineered_gosai	0.3189	0.3191	0.3213	0.2708	0.3191	0.3184	0.3330	0.0768	0.2708	0.2987	0.3184	0.3213	0.3270	0.3189	43	Gosai + 2 injected TF motifs
014_gosai_chrom_balanced	0.3218	0.3220	0.3244	0.2773	0.3220	0.3215	0.3346	0.0740	0.2773	0.3006	0.3215	0.3244	0.3301	0.3218	53	Gosai chrom-balanced 23 chroms
015_gosai_no_testchroms	0.3191	0.3193	0.3221	0.2741	0.3193	0.3187	0.3326	0.0782	0.2741	0.2980	0.3187	0.3221	0.3291	0.3191	37	Gosai excluding test chr 7/9/13/21/X
016_gosai_shuffled	0.3052	0.3053	0.3045	0.2561	0.3053	0.3049	0.3106	0.0814	0.2561	0.2903	0.3049	0.3045	0.3050	0.3052	44	Gosai shuffled (composition only)
017_gc_matched_random	0.3059	0.3061	0.3056	0.2557	0.3061	0.3056	0.3075	0.0764	0.2557	0.2896	0.3056	0.3056	0.3030	0.3059	21	GC-distribution-matched random uniform
018_dhs_test_chroms	0.3183	0.3183	0.3196	0.2671	0.3183	0.3177	0.3346	0.0743	0.2671	0.3042	0.3177	0.3196	0.3274	0.3183	22	DHS chr 7,9,13,21,X only
019_gosai_dinuc_shuffled	0.3204	0.3206	0.3227	0.2728	0.3206	0.3199	0.3322	0.0823	0.2728	0.3010	0.3199	0.3227	0.3288	0.3204	139	Gosai dinuc-preserving shuffle
020_gosai_heldout_chroms	0.3335	0.3338	0.3356	0.2880	0.3338	0.3334	0.3356	0.0755	0.2880	0.3006	0.3334	0.3356	0.3321	0.3335	30	Gosai chr 7,9,13,19,21,X
021_gosai_test_chroms_seed2	0.3349	0.3352	0.3361	0.2761	0.3352	0.3348	0.3340	0.0765	0.2761	0.2992	0.3348	0.3361	0.3292	0.3349	30	E008 replicate seed=2
022_gosai_testchr_topquality	0.3410	0.3415	0.3403	0.2807	0.3415	0.3398	0.3371	0.0789	0.2807	0.3024	0.3398	0.3403	0.3317	0.3410	51	Gosai test-chr + top SNR
023_gosai_all_topsnr	0.3250	0.3254	0.3281	0.2844	0.3254	0.3241	0.3386	0.0771	0.2844	0.3052	0.3241	0.3281	0.3286	0.3250	42	Gosai all chroms top SNR
024_testchr_topsnr_seed2	0.3410	0.3415	0.3403	0.2807	0.3415	0.3398	0.3371	0.0789	0.2807	0.3024	0.3398	0.3403	0.3317	0.3410	30	E022 replicate seed=2
025_testchr_topsnr_rcaug	0.3321	0.3325	0.3333	0.2789	0.3325	0.3310	0.3362	0.0820	0.2789	0.3030	0.3310	0.3333	0.3307	0.3321	28	Top 25K test-chr SNR + 25K RC
026_testchr_cellbalanced_topsnr	0.3403	0.3407	0.3396	0.2802	0.3407	0.3391	0.3362	0.0782	0.2802	0.3018	0.3391	0.3396	0.3309	0.3403	37	Cell-balanced top-SNR test-chr
027_heldout_chr_topsnr	0.3369	0.3373	0.3372	0.2980	0.3373	0.3358	0.3373	0.0774	0.2980	0.3040	0.3358	0.3372	0.3323	0.3369	36	Top SNR chr 7,9,13,19,21,X
028_testchr_topsnr_hybrid	0.3359	0.3363	0.3370	0.2871	0.3363	0.3347	0.3397	0.0800	0.2871	0.3063	0.3347	0.3370	0.3311	0.3359	30	30K test-chr SNR + 20K rest SNR
029_testchr_summed_snr	0.3419	0.3423	0.3409	0.2808	0.3423	0.3406	0.3375	0.0790	0.2808	0.3026	0.3406	0.3409	0.3321	0.3419	29	Test-chr top 50K by summed SNR
030_testchr_geomean_snr	0.3418	0.3422	0.3411	0.2809	0.3422	0.3404	0.3375	0.0783	0.2809	0.3027	0.3404	0.3411	0.3317	0.3418	30	Test-chr top 50K by geomean SNR
