experiment	eval_01	eval_02	eval_03	eval_04	eval_05	eval_06	eval_07	eval_08	eval_09	eval_10	eval_11	eval_12	eval_13	eval_14	mean_r	time_s	description
001_dhs_stratified	0.0739	0.0722	0.0927	0.0850	0.0722	0.0737	0.1454	0.0627	0.0850	0.1286	0.0737	0.0927	0.1408	0.0739	0.0909	37.1	DHS 16-NMF-stratified, 3125/component, Meuleman 160k subset
002_dhs_plus_dirichlet	0.0765	0.0747	0.0965	0.0887	0.0747	0.0767	0.1464	0.0728	0.0887	0.1300	0.0767	0.0965	0.1443	0.0765	0.0942	29.0	25k DHS stratified + 25k Dirichlet(1,1,1,1) composition synthetic
003_motif_embedded	0.0671	0.0655	0.0872	0.0820	0.0655	0.0671	0.1328	0.0602	0.0820	0.1146	0.0671	0.0872	0.1274	0.0671	0.0866	27.0	4-8 JASPAR vertebrate motifs embedded in random 200bp backgrounds
004_dirichlet_extreme	0.0786	0.0769	0.0988	0.0902	0.0769	0.0788	0.1455	0.0716	0.0902	0.1285	0.0788	0.0988	0.1431	0.0786	0.0954	32.0	Dirichlet(0.3) per-sequence composition synthetic
005_dirichlet_0p1	0.0752	0.0737	0.0970	0.0865	0.0737	0.0755	0.1429	0.0667	0.0865	0.1228	0.0755	0.0970	0.1404	0.0752	0.0935	27.0	Dirichlet(0.1) very-extreme composition
006_dirichlet_plus_topsignal_dhs	0.0780	0.0763	0.0980	0.0889	0.0763	0.0783	0.1445	0.0673	0.0889	0.1281	0.0783	0.0980	0.1422	0.0780	0.0958	31.0	25k Dirichlet(0.3) + 25k top-signal DHS (top 25%)
007_markov_dirichlet	0.0765	0.0748	0.0985	0.0899	0.0748	0.0764	0.1452	0.0708	0.0899	0.1239	0.0764	0.0985	0.1437	0.0765	0.0944	27.0	Per-sequence Markov chain, 4x4 transition with Dirichlet(0.3) rows
008_dhs_gc_stratified	0.0737	0.0721	0.0914	0.0831	0.0721	0.0733	0.1454	0.0693	0.0831	0.1286	0.0733	0.0914	0.1415	0.0737	0.0901	30.0	DHS sequences GC-binned into 10 quantiles, 5000/bin
009_replicated_dirichlet	0.0732	0.0716	0.0907	0.0843	0.0716	0.0734	0.1382	0.0511	0.0843	0.1168	0.0734	0.0907	0.1381	0.0732	0.0894	44.9	5000 unique Dirichlet(0.3) × 10 copies (noise averaging test, FAILED)
010_dirichlet_multi_alpha	0.0772	0.0754	0.0974	0.0909	0.0754	0.0771	0.1478	0.0716	0.0909	0.1309	0.0771	0.0974	0.1444	0.0772	0.0950	25.0	10k each at alpha={0.1,0.3,0.7,1.5,3.0} Dirichlet mix
011_top_signal_dhs	0.0745	0.0729	0.0924	0.0872	0.0729	0.0743	0.1432	0.0653	0.0872	0.1289	0.0743	0.0924	0.1386	0.0745	0.0913	15.0	Top 50k DHS by total_signal (cutoff=11.4, median=27.8)
