experiment	eval_01	eval_02	eval_03	eval_04	eval_05	eval_06	eval_07	eval_08	eval_09	eval_10	eval_11	eval_12	eval_13	eval_14	mean_r	k562_r	hepg2_r	sknsh_r	time_s	description
001_random_baseline	0.7760	0.8718	0.8562	0.8178	0.7756	0.8722	0.7910	0.9080	0.8890	0.8670	0.7623	0.7394	0.7762	0.8722	0.8200	0.8114	0.8197	0.8284	3433.9	uniform random ACGT 200bp seed=0
002_hg38_tiled	0.8182	0.9162	0.9080	0.8567	0.8181	0.9166	0.8882	0.8679	0.9364	0.9062	0.8044	0.7857	0.8947	0.9164	0.8731	0.8729	0.8769	0.8702	3783.1	hg38 chr19-22 200bp tiles, drop N & >50% softmasked, seed=1
003_encode_ccres	0.8288	0.9270	0.9193	0.8657	0.8285	0.9274	0.9025	0.8922	0.9465	0.9272	0.8145	0.7959	0.9038	0.9276	0.8862	0.8841	0.8933	0.8812	3041.7	200bp windows centered on ENCODE V3 cCRE midpoints, seed=2
004_ccre_random_hybrid	0.8217	0.9199	0.9116	0.8609	0.8214	0.9204	0.8896	0.9156	0.9387	0.9193	0.8078	0.7900	0.8885	0.9205	0.8804	0.8772	0.8856	0.8785	4749.5	75k ENCODE cCRE-centered + 75k uniform random, seed=3
005_ccre_motif_embedded	0.8258	0.9232	0.9148	0.8608	0.8256	0.9235	0.8926	0.9160	0.9363	0.9242	0.8114	0.7926	0.8898	0.9237	0.8829	0.8801	0.8890	0.8795	3418.5	75k cCRE + 75k synthetic random with 2 JASPAR consensus motifs embedded
006_ccre_motif_90_10	0.8295	0.9280	0.9207	0.8661	0.8293	0.9284	0.9062	0.9088	0.9452	0.9287	0.8155	0.7984	0.9022	0.9285	0.8883	0.8858	0.8919	0.8843	4716.0	135k cCRE + 15k motif-embedded synthetic (90/10), seed=5
007_ccre_class_balanced	0.8251	0.9234	0.9154	0.8657	0.8247	0.9236	0.8918	0.8946	0.9442	0.9201	0.8107	0.7931	0.8920	0.9240	0.8820	0.8785	0.8863	0.8813	3423.7	cCREs class-balanced: 37.5k each of PLS/pELS/dELS/CTCF-other, seed=6
008_ccre_genome_90_10	0.8270	0.9248	0.9172	0.8629	0.8267	0.9250	0.9015	0.8850	0.9429	0.9225	0.8127	0.7948	0.9018	0.9253	0.8836	0.8819	0.8900	0.8788	4167.0	135k cCRE + 15k non-cCRE genome tiles (chr1,7,14,19-22, >500bp from any cCRE), seed=7
009_ccre_motif_dense	0.8310	0.9293	0.9223	0.8647	0.8308	0.9296	0.9058	0.9062	0.9453	0.9295	0.8166	0.7995	0.9028	0.9298	0.8888	0.8857	0.8959	0.8847	2717.7	135k cCRE + 15k random with 5 JASPAR motifs each, seed=8
010_ccre_neighborhoods	0.8249	0.9237	0.9149	0.8607	0.8248	0.9240	0.9018	0.8844	0.9395	0.9196	0.8109	0.7926	0.9044	0.9241	0.8822	0.8810	0.8881	0.8773	5235.4	50k unique cCREs x 3 windows (center + ±200bp shift), filtered, seed=9
011_ccre_mutation_augment	0.8253	0.9237	0.9151	0.8629	0.8251	0.9240	0.9021	0.8974	0.9426	0.9255	0.8113	0.7924	0.9008	0.9242	0.8837	0.8821	0.8909	0.8782	4170.5	75k unique cCREs + 75k of them with 10% random substitutions, seed=10
012_ccre_rc_augment	0.8308	0.9312	0.9240	0.8686	0.8305	0.9313	0.9061	0.9115	0.9482	0.9311	0.8163	0.8000	0.9052	0.9317	0.8905	0.8865	0.8978	0.8870	4139.6	67.5k unique cCRE (fwd) + 67.5k same cCRE (RC) + 15k motif-embedded, seed=11
013_ccre_rc_only	0.8265	0.9245	0.9162	0.8629	0.8264	0.9249	0.9000	0.8876	0.9432	0.9228	0.8126	0.7937	0.8982	0.9251	0.8832	0.8821	0.8888	0.8786	4160.5	75k unique cCRE x 2 strands, no synthetic, seed=12
014_ccre_hybrid_partialrc	0.8307	0.9282	0.9206	0.8639	0.8304	0.9285	0.9024	0.9085	0.9440	0.9283	0.8164	0.7983	0.9021	0.9288	0.8879	0.8857	0.8947	0.8834	3433.3	45k cCRE x 2 + 45k cCRE fwd-only + 15k motif (90k unique), seed=13
015_ccre_diverse_strand	0.8330	0.9303	0.9230	0.8657	0.8328	0.9307	0.9063	0.9115	0.9467	0.9313	0.8187	0.8011	0.9049	0.9308	0.8905	0.8868	0.8975	0.8872	3091.6	67.5k cCRE fwd + 67.5k DIFFERENT cCRE RC + 15k motif (135k unique), seed=14
