experiment	eval_01	eval_02	eval_03	eval_04	eval_05	eval_06	eval_07	eval_08	eval_09	eval_10	eval_11	eval_12	eval_13	eval_14	mean_r	time_s	description
001_motif_cocktail	0.0375	0.0378	0.0361	0.0449	0.0378	0.0373	0.0228	0.1107	0.0449	0.0314	0.0373	0.0361	0.0160	0.0375	0.0413	29	random bg + 4-8 JASPAR motifs (2258 PFMs) per 200bp
002_dhs_random_summit	0.0410	0.0412	0.0388	0.0483	0.0412	0.0400	0.0191	0.0449	0.0483	0.0338	0.0400	0.0388	0.0279	0.0410	0.0389	28	hg38 200bp windows centered on random DHS summits (Meuleman 2020, 3.59M index)
003_encode_ccre	0.0466	0.0467	0.0454	0.0512	0.0467	0.0464	0.0264	0.0550	0.0512	0.0301	0.0464	0.0454	0.0237	0.0466	0.0434	33	200bp around midpoint of 50k random ENCODE v4 cCREs (2.35M total)
004_dhs_specific	0.0487	0.0487	0.0477	0.0514	0.0487	0.0479	0.0265	0.0550	0.0514	0.0317	0.0479	0.0477	0.0308	0.0487	0.0452	35	DHS summit-centered, weighted by 1/sqrt(numsamples) for cell-type specificity
005_satmut	0.0046	0.0045	0.0066	0.0041	0.0045	0.0031	-0.0008	-0.0010	0.0041	-0.0066	0.0031	0.0066	0.0067	0.0046	0.0035	48	100 cCRE seeds x 500 variants each (1-3 single-base mutations). Diversity collapse.
006_random_genomic	0.0448	0.0448	0.0423	0.0480	0.0448	0.0439	0.0360	0.0289	0.0480	0.0254	0.0439	0.0423	0.0398	0.0448	0.0413	31	Random 200bp windows from anywhere in hg38, no annotation filter
007_composite_mix	0.0471	0.0470	0.0446	0.0545	0.0470	0.0460	0.0305	0.0690	0.0545	0.0291	0.0460	0.0446	0.0239	0.0471	0.0451	27	12.5k each: cCRE+DHS-specific+random_genomic+synth_motifs
008_ccre_high_confidence	0.0468	0.0465	0.0446	0.0503	0.0465	0.0456	0.0296	0.0603	0.0503	0.0301	0.0456	0.0446	0.0212	0.0468	0.0435	40	PLS+pELS+CA-TF+CA-H3K4me3+TF (506k high-conf regulatory cCREs)
009_dhs_specific_rc	0.0453	0.0451	0.0445	0.0534	0.0451	0.0446	0.0301	0.0489	0.0534	0.0322	0.0446	0.0445	0.0331	0.0453	0.0436	41	DHS-specificity weighted, sequences reverse-complemented
010_dhs_high_signal	0.0412	0.0414	0.0379	0.0429	0.0414	0.0407	0.0290	0.0590	0.0429	0.0282	0.0407	0.0379	0.0224	0.0412	0.0398	47	Top 10% DHS by mean_signal (~360k sites)
011_dhs_celltype_match	0.0401	0.0404	0.0384	0.0445	0.0404	0.0398	0.0256	0.0454	0.0445	0.0329	0.0398	0.0384	0.0205	0.0401	0.0379	57	12.5k each from K562/HepG2/SK-N-SH matched DHS components (Myeloid+Cancer+Digestive+Neural)
012_dhs_all_components	0.0464	0.0465	0.0443	0.0501	0.0465	0.0452	0.0289	0.0534	0.0501	0.0290	0.0452	0.0443	0.0261	0.0464	0.0430	82	DHS summit, 3125 from each of 16 NMF tissue components (max breadth)
013_dinuc_shuffle_dhs	0.0376	0.0379	0.0364	0.0420	0.0379	0.0385	0.0244	0.0570	0.0420	0.0264	0.0385	0.0364	0.0209	0.0376	0.0367	50	dhs_specific sequences each dinucleotide-shuffled (preserve composition, destroy motifs)
014_dhs_motif_augmented	0.0430	0.0431	0.0417	0.0497	0.0431	0.0421	0.0239	0.0488	0.0497	0.0301	0.0421	0.0417	0.0210	0.0430	0.0402	50	dhs_specific + 4 planted JASPAR motifs per sequence (replace real content)
015_pure_uniform_random	0.0420	0.0422	0.0413	0.0489	0.0422	0.0418	0.0254	0.1237	0.0489	0.0320	0.0418	0.0413	0.0203	0.0420	0.0453	44	Pure uniform random ACGT, no genome reference. eval_08=0.124 BREAKTHROUGH!
016_mix_dhs_uniform	0.0469	0.0469	0.0457	0.0509	0.0469	0.0457	0.0281	0.1035	0.0509	0.0309	0.0457	0.0457	0.0273	0.0469	0.0473	53	25k dhs_specific + 25k pure uniform random. mean_r 0.0473 NEW HIGH
017_mix_25dhs_75uniform	0.0457	0.0460	0.0455	0.0508	0.0460	0.0452	0.0272	0.1156	0.0508	0.0342	0.0452	0.0455	0.0273	0.0457	0.0479	42	12.5k dhs_specific + 37.5k uniform random (25/75). mean_r 0.0479 NEW HIGH
018_mix_10dhs_90uniform	0.0427	0.0429	0.0413	0.0491	0.0429	0.0424	0.0274	0.1186	0.0491	0.0326	0.0424	0.0413	0.0225	0.0427	0.0456	40	5k dhs_specific + 45k uniform (10/90). Too uniform, mean_r dropped
019_mix_33dhs_67uniform	0.0478	0.0480	0.0465	0.0528	0.0480	0.0470	0.0272	0.1109	0.0528	0.0346	0.0470	0.0465	0.0262	0.0478	0.0488	40	16.7k dhs_specific + 33.3k uniform (33/67). mean_r 0.0488 NEW HIGH
020_mix_40dhs_60uniform	0.0468	0.0468	0.0457	0.0500	0.0468	0.0456	0.0288	0.1068	0.0500	0.0337	0.0456	0.0457	0.0246	0.0468	0.0474	27	20k dhs_specific + 30k uniform (40/60). Below 33/67 peak
