experiment	eval_01	eval_02	eval_03	eval_04	eval_05	eval_06	eval_07	eval_08	eval_09	eval_10	eval_11	eval_12	eval_13	eval_14	time_s	description
001_ccre_class_balanced	0.0002	-0.0001	-0.0039	0.0021	-0.0001	0.0002	-0.0072	0.0051	0.0021	-0.0065	0.0002	-0.0039	-0.0075	0.0002	67.4	cCRE class-balanced (9 classes from ENCODE V3)
002_dhs_random	-0.0005	-0.0007	-0.0014	0.0007	-0.0007	-0.0014	0.0019	0.0023	0.0007	0.0004	-0.0014	-0.0014	0.0081	-0.0005	77.0	Meuleman 2020 DHS index, uniform sampling
003_gosai_train_chroms	0.0000	0.0004	0.0017	0.0131	0.0004	0.0011	0.0091	0.0030	0.0131	-0.0045	0.0011	0.0017	-0.0030	0.0000	91.0	Gosai 50k random, chr 1-6 8 10-12 14-20 22
004_gosai_quality_diverse	0.0181	0.0179	0.0178	0.0154	0.0179	0.0170	0.0075	0.0045	0.0154	-0.0016	0.0170	0.0178	0.0027	0.0181	78.0	Gosai filtered lfcSE<0.5, activity quintile-stratified
005_gosai_tighter_quality	0.0180	0.0182	0.0149	0.0103	0.0182	0.0184	0.0044	0.0051	0.0103	0.0031	0.0184	0.0149	0.0017	0.0180	112.0	Gosai lfcSE<0.3, 5x5x5 per-cell quintile stratified
006_gosai_cre_heavy	0.0105	0.0080	0.0032	0.0106	0.0080	0.0073	0.0051	0.0063	0.0106	0.0074	0.0073	0.0032	0.0051	0.0105	62.0	14k CRE all + 36k UKBB/GTEX stratified lfcSE<0.3
007_gosai_activity_extremes	0.0142	0.0137	0.0112	0.0224	0.0137	0.0131	-0.0014	-0.0007	0.0224	0.0044	0.0131	0.0112	-0.0007	0.0142	68.0	Gosai lfcSE<0.3, 25k top+25k bottom activity
008_gosai_celltype_specific	0.0122	0.0120	0.0082	0.0169	0.0120	0.0120	0.0039	0.0012	0.0169	0.0002	0.0120	0.0082	-0.0003	0.0122	65.0	Gosai lfcSE<0.3, top variance across cell types
009_gosai_mixed_extremes_middle	0.0091	0.0085	0.0069	0.0184	0.0085	0.0078	-0.0038	0.0027	0.0184	0.0032	0.0078	0.0069	-0.0016	0.0091	97	Mixed 25k extremes + 25k stratified middle (lfcSE<0.3)
010_gosai_ukbb_only	0.0130	0.0129	0.0098	0.0041	0.0129	0.0116	0.0004	0.0028	0.0041	0.0025	0.0116	0.0098	0.0001	0.0130	91	Gosai UKBB-only, lfcSE<0.3, quintile stratified
011_gosai_gtex_only	0.0148	0.0152	0.0167	0.0221	0.0152	0.0141	0.0036	0.0062	0.0221	0.0052	0.0141	0.0167	0.0054	0.0148	93	Gosai GTEX-only, lfcSE<0.3, quintile stratified
012_gosai_quality_extreme	0.0108	0.0105	0.0088	0.0189	0.0105	0.0108	0.0058	0.0130	0.0189	0.0012	0.0108	0.0088	0.0029	0.0108	80	Gosai lfcSE<0.15, quintile stratified
013_gosai_signal_to_noise	0.0126	0.0123	0.0061	0.0185	0.0123	0.0120	0.0078	-0.0009	0.0185	-0.0054	0.0120	0.0061	0.0068	0.0126	76	Gosai top-SNR (|effect|/SE) then quintile stratified
