experiment	eval_01	eval_02	eval_03	eval_04	eval_05	eval_06	eval_07	eval_08	eval_09	eval_10	eval_11	eval_12	eval_13	eval_14	time_s	description
001_dhs_signal_summit	0.4930	0.4930	0.4963	0.4865	0.4930	0.4944	0.4999	0.4365	0.4865	0.4898	0.4944	0.4963	0.4982	0.4930	71	DHS signal-weighted, summit-centered
002_dhs_uniform	0.4925	0.4930	0.4973	0.4906	0.4930	0.4955	0.5087	0.4331	0.4906	0.4904	0.4955	0.4973	0.5037	0.4925	75	uniform DHS sampling
003_synth_random	0.5210	0.5209	0.5230	0.5202	0.5209	0.5224	0.5189	0.4703	0.5202	0.5085	0.5224	0.5230	0.5248	0.5210	72	synthetic random (diagnostic)
004_dhs_neural_only	0.4850	0.4852	0.4886	0.4711	0.4852	0.4870	0.5020	0.4294	0.4711	0.4791	0.4870	0.4886	0.4981	0.4850	84	Neural component DHS only
005_random_planted_motifs	0.5161	0.5162	0.5180	0.5165	0.5162	0.5181	0.5187	0.4671	0.5165	0.5064	0.5181	0.5180	0.5141	0.5161	82	random + 8 JASPAR motifs/seq
006_random_seed42	0.5221	0.5220	0.5258	0.5269	0.5220	0.5232	0.5183	0.4723	0.5269	0.5120	0.5232	0.5258	0.5230	0.5221	91	random uniform seed 42
007_random90_dhs10	0.4996	0.4997	0.5022	0.4922	0.4997	0.5011	0.5043	0.4615	0.4922	0.4935	0.5011	0.5022	0.5120	0.4996	96	90% random + 10% DHS
008_gosai_mpra	0.5031	0.5032	0.5060	0.5027	0.5032	0.5045	0.5004	0.4271	0.5027	0.4875	0.5045	0.5060	0.5019	0.5031	83	Gosai 2024 MPRA 50k from 763k
009_gosai_extreme_sknsh	0.4972	0.4972	0.4970	0.5049	0.4972	0.4986	0.4932	0.4296	0.5049	0.4850	0.4986	0.4970	0.4921	0.4972	90	Gosai top |SKNSH_log2FC|
010_random99_gosai1	0.5194	0.5196	0.5228	0.5199	0.5196	0.5214	0.5160	0.4726	0.5199	0.5076	0.5214	0.5228	0.5212	0.5194	78	99% random + 1% Gosai
011_random_markov1	0.4873	0.4874	0.4925	0.4724	0.4874	0.4888	0.5008	0.4199	0.4724	0.4870	0.4888	0.4925	0.5051	0.4873	76	Markov-1 human dinuc freq (CpG suppressed)
012_random_seed7	0.5176	0.5180	0.5214	0.5186	0.5180	0.5193	0.5196	0.4706	0.5186	0.5141	0.5193	0.5214	0.5228	0.5176	62	random seed 7 (variance check)
013_random_revcomp	0.5190	0.5191	0.5204	0.5218	0.5191	0.5204	0.5224	0.4703	0.5218	0.5108	0.5204	0.5204	0.5254	0.5190	72	25k random + 25k revcomp
014_random_balanced_gc	0.5195	0.5196	0.5247	0.5233	0.5196	0.5206	0.5210	0.4718	0.5233	0.5138	0.5206	0.5247	0.5253	0.5195	101	random with exact GC=50% per sequence
015_random_balanced_acgt	0.2697	0.2700	0.2670	0.2733	0.2700	0.2689	0.2675	0.2952	0.2733	0.2774	0.2689	0.2670	0.2588	0.2697	73	exact 50/50/50/50 ACGT per sequence — HepG2 INVERTS
