experiment	eval_01	eval_02	eval_03	eval_04	eval_05	eval_06	eval_07	eval_08	eval_09	eval_10	eval_11	eval_12	eval_13	eval_14	time_s	description
001_synth_random	0.3068	0.3069	0.3309	0.2669	0.3069	0.3294	0.4024	0.1098	0.2669	0.3566	0.3294	0.3309	0.3809	0.3068	43.5	pure random iid {ACGT}, seed 0, n=50000
002_genome_random	0.4992	0.4999	0.5396	0.5226	0.4999	0.5372	0.5985	0.0916	0.5226	0.5529	0.5372	0.5396	0.6020	0.4992	44.6	random 200bp tiles from hg38 chr1/17/19/22, no annotation
003_dhs_stratified	0.4378	0.4385	0.4644	0.4690	0.4385	0.4593	0.4521	0.1016	0.4690	0.5036	0.4593	0.4644	0.4672	0.4378	49.9	SynthSeqs train, 3125 per NMF component (16), no extra weighting
004_dhs_genome_mix	0.4926	0.4934	0.5309	0.5126	0.4934	0.5312	0.5956	0.0917	0.5126	0.5452	0.5312	0.5309	0.5877	0.4926	46.2	50/50 mix of 25k genome random + 25k DHS-stratified
005_markov_k4	0.2681	0.2687	0.2848	0.2162	0.2687	0.2748	0.3902	0.0939	0.2162	0.2833	0.2748	0.2848	0.3599	0.2681	121.0	4th-order Markov chain trained on hg38 chr1/17/19/22
006_genome_broad	0.4823	0.4831	0.5203	0.4882	0.4831	0.5194	0.5951	0.0883	0.4882	0.5342	0.5194	0.5203	0.5905	0.4823	51.5	random 200bp tiles from all 24 hg38 chromosomes
007_motif_implant	0.3468	0.3473	0.3688	0.3116	0.3473	0.3602	0.4448	0.0879	0.3116	0.3871	0.3602	0.3688	0.4272	0.3468	41.2	3 TF consensus motifs planted in random scaffolds (53 motif library)
008_genome_aug_motif	0.4958	0.4966	0.5361	0.5194	0.4966	0.5339	0.5989	0.0937	0.5194	0.5443	0.5339	0.5361	0.5994	0.4958	43.7	real genome tiles + 1 planted motif per sequence
009_promoter_tss	0.3700	0.3704	0.4033	0.4211	0.3704	0.3908	0.3849	0.0816	0.4211	0.4641	0.3908	0.4033	0.4188	0.3700	49.9	200bp windows centered on 40k RefSeq TSSes, +/-50bp jitter
010_dhs_random_full	0.4699	0.4706	0.5093	0.4989	0.4706	0.5071	0.5481	0.1012	0.4989	0.5376	0.5071	0.5093	0.5548	0.4699	11.8	DHS sampled uniformly from full 3.6M Meuleman index
